PERF {asctime} GET /favicon.ico 302 0.00s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/generic/ 200 0.00s User: IP:127.0.0.1
PERF {asctime} POST /accounts/login/customer/ 302 0.45s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /e_commerce/customer-accounts/ 200 0.34s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.15s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.16s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.11s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /sales/orders/ 403 0.09s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.10s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.10s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.13s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /.well-known/appspecific/com.chrome.devtools.json 404 0.16s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /sales/orders/ 403 0.09s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.18s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.10s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /sales/transactions/ 403 0.11s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.09s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.09s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /e_commerce/products/ 200 0.65s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.14s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.14s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.09s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.10s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /e_commerce/customer-accounts/ 200 0.10s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.16s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.20s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.09s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /e_commerce/orders/ 200 0.17s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.15s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.17s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.17s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /accounts/logout/ 302 0.11s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/ 200 0.00s User: IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.00s User: IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.00s User: IP:127.0.0.1
PERF {asctime} GET /favicon.ico 302 0.00s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/generic/ 200 0.00s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/staff/ 200 0.06s User: IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.00s User: IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.00s User: IP:127.0.0.1
PERF {asctime} GET /favicon.ico 302 0.00s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/generic/ 200 0.00s User: IP:127.0.0.1
PERF {asctime} POST /accounts/login/staff/ 302 0.33s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET / 200 0.11s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.14s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.15s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.14s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /hr/attendance/ 200 0.38s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/human_resources/css/hr.css 404 0.14s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.15s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.16s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.07s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /hr/attendance/ 200 0.09s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.13s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.13s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/human_resources/css/hr.css 404 0.18s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.08s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /hr/attendance/ 200 0.09s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/human_resources/css/hr.css 404 0.13s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.14s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.16s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.08s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /hr/attendance/ 200 0.09s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.13s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/human_resources/css/hr.css 404 0.13s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.14s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.10s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /accounts/logout/ 302 0.09s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/ 200 0.00s User: IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.00s User: IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.00s User: IP:127.0.0.1
PERF {asctime} GET /favicon.ico 302 0.00s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/generic/ 200 0.00s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/customer/ 200 0.00s User: IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.00s User: IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.00s User: IP:127.0.0.1
PERF {asctime} GET /favicon.ico 302 0.00s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/generic/ 200 0.00s User: IP:127.0.0.1
PERF {asctime} POST /accounts/login/customer/ 302 0.34s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /e_commerce/customer-accounts/ 200 0.09s User:testcustomer IP:127.0.0.1
